IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.25.139.132,4,4,0.00,376.61,0.00,LHR
172.67.169.67,4,4,0.00,376.64,0.00,LHR
172.65.203.60,4,4,0.00,376.96,0.00,LHR
172.66.141.202,4,4,0.00,377.06,0.00,LHR
172.65.235.135,4,4,0.00,377.07,0.00,LHR
172.67.99.196,4,4,0.00,377.10,0.00,LHR
172.64.80.28,4,4,0.00,377.21,0.00,LHR
172.67.206.188,4,4,0.00,377.33,0.00,LHR
172.67.183.187,4,4,0.00,377.53,0.00,LHR
172.64.74.53,4,4,0.00,377.64,0.00,LHR
172.65.34.106,4,4,0.00,377.68,0.00,LHR
172.67.132.199,4,4,0.00,377.75,0.00,LHR
172.66.207.148,4,4,0.00,377.82,0.00,LHR
172.66.1.186,4,4,0.00,378.02,0.00,LHR
172.64.148.237,4,4,0.00,378.17,0.00,LHR
172.67.101.79,4,4,0.00,378.28,0.00,LHR
172.65.217.245,4,4,0.00,378.33,0.00,LHR
172.67.217.178,4,4,0.00,378.37,0.00,LHR
172.66.203.63,4,4,0.00,378.38,0.00,LHR
104.29.125.61,4,4,0.00,378.51,0.00,LHR
172.67.209.225,4,4,0.00,378.57,0.00,LHR
172.67.113.134,4,4,0.00,378.66,0.00,LHR
172.67.197.225,4,4,0.00,378.79,0.00,LHR
104.16.22.174,4,4,0.00,378.79,0.00,LHR
172.66.175.108,4,4,0.00,378.80,0.00,LHR
172.67.123.48,4,4,0.00,378.86,0.00,LHR
172.67.144.159,4,4,0.00,378.89,0.00,LHR
172.64.34.116,4,4,0.00,379.01,0.00,LHR
104.16.228.240,4,4,0.00,379.06,0.00,LHR
172.67.170.98,4,4,0.00,379.22,0.00,LHR
172.64.38.32,4,4,0.00,379.23,0.00,LHR
172.67.234.22,4,4,0.00,379.35,0.00,LHR
172.65.50.163,4,4,0.00,379.45,0.00,LHR
172.67.87.143,4,4,0.00,379.64,0.00,LHR
104.21.73.186,4,4,0.00,379.64,0.00,LHR
104.25.194.73,4,4,0.00,379.94,0.00,LHR
104.21.194.127,4,4,0.00,380.05,0.00,LHR
172.64.69.237,4,4,0.00,380.14,0.00,LHR
172.65.173.125,4,4,0.00,380.21,0.00,LHR
172.67.70.223,4,4,0.00,380.38,0.00,LHR
172.66.154.89,4,4,0.00,380.54,0.00,LHR
104.25.120.215,4,4,0.00,380.55,0.00,LHR
104.21.25.252,4,4,0.00,380.56,0.00,LHR
172.66.153.31,4,4,0.00,380.56,0.00,LHR
172.66.173.203,4,4,0.00,380.85,0.00,LHR
104.18.192.170,4,4,0.00,381.02,0.00,LHR
172.66.213.164,4,4,0.00,381.16,0.00,LHR
104.24.202.215,4,4,0.00,381.38,0.00,LHR
172.67.118.9,4,4,0.00,381.44,0.00,LHR
172.67.102.183,4,4,0.00,381.47,0.00,LHR
172.66.134.143,4,4,0.00,381.76,0.00,LHR
172.65.61.68,4,4,0.00,381.77,0.00,LHR
172.67.138.212,4,4,0.00,381.91,0.00,LHR
172.67.229.116,4,4,0.00,381.93,0.00,LHR
172.66.196.21,4,4,0.00,382.32,0.00,LHR
172.65.242.72,4,4,0.00,382.42,0.00,LHR
104.17.167.93,4,4,0.00,382.64,0.00,LHR
172.65.213.98,4,4,0.00,382.82,0.00,LHR
172.67.163.52,4,4,0.00,382.98,0.00,LHR
172.64.190.246,4,4,0.00,383.11,0.00,LHR
172.67.116.249,4,4,0.00,383.19,0.00,LHR
172.67.240.186,4,4,0.00,383.31,0.00,LHR
162.159.48.128,4,4,0.00,383.34,0.00,LHR
172.66.168.126,4,4,0.00,383.36,0.00,LHR
104.21.91.193,4,4,0.00,383.62,0.00,LHR
104.16.169.91,4,4,0.00,383.70,0.00,LHR
172.65.223.96,4,4,0.00,383.99,0.00,LHR
104.25.95.237,4,4,0.00,384.44,0.00,LHR
104.19.101.81,4,4,0.00,384.61,0.00,LHR
104.27.76.171,4,4,0.00,384.65,0.00,LHR
172.67.119.196,4,4,0.00,385.43,0.00,LHR
104.17.218.137,4,4,0.00,385.84,0.00,LHR
104.17.36.14,4,4,0.00,386.14,0.00,LHR
172.65.210.163,4,4,0.00,386.31,0.00,LHR
172.67.108.62,4,4,0.00,387.64,0.00,LHR
104.24.226.155,4,4,0.00,387.70,0.00,LHR
104.21.1.39,4,4,0.00,388.15,0.00,LHR
104.19.81.53,4,4,0.00,388.94,0.00,LHR
172.66.202.22,4,4,0.00,389.01,0.00,LHR
104.18.236.41,4,4,0.00,389.51,0.00,LHR
104.21.87.94,4,4,0.00,389.78,0.00,LHR
104.17.38.36,4,4,0.00,389.90,0.00,LHR
104.16.50.25,4,4,0.00,391.75,0.00,LHR
104.16.138.145,4,4,0.00,392.38,0.00,LHR
104.19.89.47,4,4,0.00,393.65,0.00,LHR
104.27.111.188,4,4,0.00,394.79,0.00,LHR
104.18.49.180,4,4,0.00,394.80,0.00,LHR
162.159.155.111,4,4,0.00,397.62,0.00,LHR
172.64.81.154,4,4,0.00,426.51,0.00,LHR
172.67.142.242,4,4,0.00,426.94,0.00,LHR
172.67.156.80,4,4,0.00,430.82,0.00,LHR
172.64.35.236,4,4,0.00,431.94,0.00,LHR
172.65.36.224,4,4,0.00,432.10,0.00,LHR
172.64.33.132,4,4,0.00,434.68,0.00,LHR
172.64.75.129,4,4,0.00,435.95,0.00,LHR
172.67.185.24,4,4,0.00,436.32,0.00,LHR
172.66.45.216,4,4,0.00,437.63,0.00,LHR
104.17.162.234,4,4,0.00,439.00,0.00,LHR
172.64.156.140,4,4,0.00,440.07,0.00,LHR
104.25.133.191,4,4,0.00,440.50,0.00,LHR
104.25.51.201,4,4,0.00,441.68,0.00,LHR
172.66.197.3,4,4,0.00,442.19,0.00,LHR
